,Retweets,Likes,Tweet
0,41,655,"⚡️ 𝙇𝙄𝙑𝙀 𝙒𝙊𝙍𝙆𝙊𝙐𝙏 ⚡️
Morning training session at the Ciutat Esportiva Joan Gamper ahead of Sunday’s #BarçaVillarreal

𝗪𝗔𝗧𝗖𝗛 𝗡𝗢𝗪 𝗢𝗡 𝗕𝗔𝗥𝗖̧𝗔 𝗧𝗩+
🖥 https://t.co/y4T6zDqzRN https://t.co/q4d9YWBdsm"
1,370,5369,"𝐓𝐈𝐌𝐄 𝐓𝐎 𝐌𝐀𝐊𝐄 𝐇𝐈𝐒𝐓𝐎𝐑𝐘
#UWCLfinal https://t.co/2SzGUTNJaQ"
2,131,1899,"G⚽️AL OF THE DAY
⏳ The time is now
💙❤️ @AitanaBonmati https://t.co/LcFyfD9YVI"
3,123,2197,"🎶🔊🎶🔊
Training
Session
Music
Video https://t.co/nIlw1kmP0A"
4,111,1842,"🔥 𝑴𝑨𝑻𝑪𝑯 𝑷𝑹𝑬𝑽𝑰𝑬𝑾 🔥

🔜 #UWCLfinal https://t.co/P3QcpvdTnI"
5,353,9135,Ready for the #UWCLfinal 💪 https://t.co/2u9mCCCPoz
6,103,2567,The most wickedly difficult Wembley '92 quiz you've ever seen 🥵
7,859,15704,𝐓𝐡𝐞 𝐌𝐚𝐬𝐭𝐞𝐫𝐬 𝐨𝐟 𝐖𝐞𝐦𝐛𝐥𝐞𝐲 ❜𝟗𝟐 💙❤️ https://t.co/eYirAKSM67
8,2359,42973,"The Great Pep Guardiola,
at Wembley '92 💙❤️ https://t.co/DWM6Ah3E7W"
9,129,2440,"𝙎𝙐𝙉𝘿𝘼𝙔 𝙉𝙄𝙂𝙃𝙏 𝙁𝙊𝙊𝙏𝘽𝘼𝙇𝙇
#BarçaVillarreal https://t.co/NLtYcLefIe"
10,2048,36861,WEMBLEY '92 FOREVER 💙❤️ https://t.co/YeLOHlbwMH
11,521,12622,To Turin in style #UWCLfinal https://t.co/vxNU9KL6ge
12,635,9294,"You never forget the first time. Today marks 30 years since 𝘰𝘶𝘳 first time. This thread is a throwback to a hallowed moment, one that marked a before and after in the history of Futbol Club Barcelona ...

1/11"
13,313,3399,"G⚽️AL OF THE DAY
3️⃣0️⃣ years of Wembley 92'
🚀 @RonaldKoeman https://t.co/pFpRNqBZry"
14,96,2107,Xavi heading abroad 🇺🇸 https://t.co/vxFkmTPvaM
15,79,1959,Made in the USA 🇺🇸 https://t.co/zneqbkf4ao
16,311,10509,I-95 summer road trip 🇺🇸 https://t.co/F4N2YdJ535
